,Unnamed: 0,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Hotel Name
227,227,Alice Springs,AU,1600029050,-23.7,133.88,17.0,55,0,3.6,DoubleTree by Hilton Hotel Alice Springs
232,232,Shingū,JP,1600028795,33.73,135.98,20.85,83,0,2.39,Hotel New Palace
234,234,Mildura,AU,1600029053,-34.2,142.15,6.0,100,0,1.5,Quality Hotel Mildura Grand
235,235,Geraldton,AU,1600028868,-28.77,114.6,18.0,34,0,7.2,The Gerald Apartment Hotel
237,237,Sabha,LY,1600029053,27.04,14.43,28.99,29,0,4.68,فندق علي
241,241,Emba,KZ,1600029054,48.83,58.14,15.19,48,0,3.81,
283,283,Great Yarmouth,GB,1600029064,52.61,1.73,17.22,97,0,1.34,Palm Court Hotel and Burlington Function Suite
284,284,Çine,TR,1600029064,37.61,28.06,23.0,78,0,1.5,Dedepalas
299,299,Kimberley,ZA,1600029010,-28.73,24.76,18.0,36,0,3.6,Kimberley Anne Hotel
303,303,Esmeraldas,BR,1600028871,-19.76,-44.31,28.0,32,0,4.6,Parque do Avestruz Hotel Fazenda
317,317,Beyneu,KZ,1600029070,45.32,55.2,19.89,45,0,3.43,"HOTEL ""AKNUR"""
329,329,General Roca,AR,1600029073,-39.03,-67.58,16.0,25,0,6.2,Estepa Hotel
338,338,Kiryat Gat,IL,1600028816,31.61,34.76,27.78,100,0,2.85,Desert Gat
343,343,Kamina,CD,1600029076,-8.74,24.99,23.16,31,0,1.59,
360,360,Qaqortoq,GL,1600028945,60.72,-46.03,7.0,33,0,3.1,Hotel Qaqortoq
365,365,Teeli,RU,1600029080,51.03,90.23,3.56,72,0,0.66,
370,370,Kruisfontein,ZA,1600029081,-34.0,24.73,12.31,58,0,4.54,
383,383,Lebu,CL,1600029084,-37.62,-73.65,10.65,68,0,8.14,Hostal Plaza Lebu
385,385,Mahon,ES,1600029084,39.89,4.27,24.0,78,0,3.1,Hotel Rural Biniarroca
388,388,Jalu,LY,1600029085,29.03,21.55,31.43,26,0,6.77,Jalu Hotel
391,391,Torquay,GB,1600029086,50.46,-3.51,16.67,94,0,2.22,Cary Arms & Spa
392,392,Shemonaīkha,KZ,1600029086,50.63,81.91,11.04,45,0,2.22,市中心酒店
394,394,Dubovka,RU,1600029087,49.06,44.83,13.0,47,0,3.0,Windmill Hotel
398,398,Ghanzi,BW,1600029087,-21.57,21.78,18.17,27,0,3.63,
401,401,Aksarayskiy,RU,1600029087,46.79,48.01,15.0,44,0,1.0,
403,403,Dawlatabad,AF,1600029088,36.41,64.91,17.97,27,0,3.44,
411,411,Gazojak,TM,1600029089,41.19,61.4,19.65,26,0,3.47,
412,412,Stege,DK,1600029089,54.99,12.28,17.22,86,0,8.8,Hotel Stege Nor
413,413,Kuruman,ZA,1600029025,-27.45,23.43,17.22,37,0,0.89,Kuruman Inn by Country Hotels
415,415,Wollongong,AU,1600029090,-34.43,150.88,11.67,81,0,0.45,Figtree Hotel
418,418,Liverpool,GB,1600028941,53.41,-2.98,18.0,77,0,2.6,DoubleTree by Hilton Hotel & Spa Liverpool
419,419,Ulaangom,MN,1600029092,49.98,92.07,5.36,69,0,0.08,Achit Nuur Hotel & Restaurant
423,423,Marck,FR,1600029092,50.95,1.94,16.67,89,0,0.45,Le Manoir du Meldick
424,424,Upington,ZA,1600029093,-28.45,21.26,15.0,37,0,2.6,Desert Palace Hotel & Casino Resort
443,443,Teya,RU,1600029097,60.38,92.63,7.09,88,0,0.58,
453,453,Abbeville,FR,1600029099,50.1,1.83,15.56,79,0,1.73,Aux 10 Ponts
455,455,Tunceli,TR,1600029100,39.11,39.55,22.0,28,0,2.6,Grand Hotel Şaroğlu
470,470,Kemin,KG,1600029103,42.78,75.69,14.46,37,0,1.95,Hotel Kok-Oirok
473,473,Porto Belo,BR,1600029103,-27.16,-48.55,27.22,78,0,5.7,Resort Refúgio do Estaleiro
477,477,Haifa,IL,1600029104,32.82,34.99,26.34,65,0,4.1,Bay Club Hotel
478,478,San Rafael,AR,1600028916,-34.62,-68.33,17.98,26,0,2.45,Azalea Luxury Homes Resort
481,481,Codrington,AU,1600029106,-38.27,141.97,7.27,92,0,3.12,Codrington Gardens Bed And Breakfast
485,485,Faya,SA,1600029106,18.39,42.45,24.0,13,0,2.1,
501,501,Dera Gopipur,IN,1600029110,31.9,76.22,24.16,71,0,1.66,Peace Himachal
502,502,Abu Kamal,SY,1600029111,34.45,40.92,30.3,30,0,4.01,
504,504,Yangi Marg`ilon,UZ,1600029111,40.43,71.72,18.0,45,0,4.1,ATLAS HOTEL
505,505,Dromolaxia,CY,1600029111,34.88,33.59,27.22,78,0,3.1,Hotel Indigo Larnaca
509,509,Sawākin,SD,1600029112,19.11,37.33,32.44,54,0,3.31,Arab Plaza Hotel عرب بلازا هوتيل
512,512,Bam,IR,1600029112,29.11,58.36,23.36,17,0,5.76,Bam Tourist Hotel
514,514,Shubarshi,KZ,1600029112,48.59,57.19,15.27,38,0,2.57,
515,515,Penzance,GB,1600029113,50.12,-5.54,16.0,93,0,7.7,Hotel Penzance
519,519,Luga,RU,1600029068,58.74,29.85,10.19,77,0,3.91,Hotel Globus
520,520,Estrela,BR,1600029072,-28.06,-50.94,21.8,69,0,1.65,
523,523,Pombia,IT,1600029114,45.65,8.63,23.33,78,0,1.0,Castelconturbia Golf Club
526,526,Mercedes,AR,1600029114,-34.65,-59.43,21.67,18,0,3.58,Gran Hotel Mercedes
529,529,Maniitsoq,GL,1600029116,65.42,-52.9,2.92,73,0,2.59,Hotel Heilmann Lyberth
532,532,Narsaq,GL,1600029117,60.92,-46.05,7.0,33,0,3.1,Igdlo Guesthouse
